Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/catalogue,6347,1508,6300,7278.9670786984825,1.1652999673970044,123850.64779996173,185.9825114227194,35.524775886132815,8.440422567557631,6300,7800,9100,9900,13000,19000,39000,65000,120000,124000,124000
POST,/checkout,1624,383,6900,8332.92605929914,1.2277000350877643,149254.20189998113,143.26354679802955,9.089685841985142,2.1436882250494516,6900,8500,9800,11000,13000,27000,60000,69000,120000,149000,149000
,Aggregated,7971,1891,6500,7493.699155538957,1.1652999673970044,149254.20189998113,177.2790114163844,44.61446172811796,10.584110792607083,6500,8000,9200,10000,13000,19000,42000,66000,120000,149000,149000
