Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/catalogue,6213,675,6800,7813.632439594447,1.4788000262342393,85662.21590002533,190.87155963302752,34.682997513557034,3.768070710067761,6800,8200,9300,10000,13000,17000,26000,41000,72000,86000,86000
POST,/checkout,1595,176,7500,8546.791744826782,1.499100006185472,68051.97660002159,140.98620689655172,8.903811529715671,0.9824895481065569,7500,8900,9900,11000,14000,18000,31000,43000,68000,68000,68000
,Aggregated,7808,851,7000,7963.400509759083,1.4788000262342393,85662.21590002533,180.68109631147541,43.58680904327271,4.750560258174318,7000,8300,9500,10000,13000,17000,27000,42000,71000,86000,86000
